Journal Title,ISSN (Print),ISSN (Online),Categories
Adapted physical activity quarterly : APAQ.,0736-5829,1543-2777,Physiology; Sports Medicine
American journal of physical medicine & rehabilitation,0894-9115,1537-7385,Physical and Rehabilitation Medicine
Annals of physical and rehabilitation medicine.,1877-0657,1877-0665,Physical and Rehabilitation Medicine
"Applied physiology, nutrition, and metabolism = Physiologie appliquée, nutrition et métabolisme.",1715-5312,1715-5320,Metabolism; Nutritional Sciences; Physiology; Sports Medicine
Archives of physical medicine and rehabilitation.,0003-9993,1532-821X,Physical and Rehabilitation Medicine
Assistive technology : the official journal of RESNA.,1040-0435,1949-3614,Physical and Rehabilitation Medicine; Technology
Australian occupational therapy journal.,0045-0766,1440-1630,Physical and Rehabilitation Medicine
Brazilian journal of physical therapy.,1413-3555,1809-9246,Physical and Rehabilitation Medicine
British journal of sports medicine.,0306-3674,1473-0480,Sports Medicine
Canadian journal of occupational therapy.  Revue canadienne d'ergothérapie.,0008-4174,1911-9828,Physical and Rehabilitation Medicine
Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine.,1050-642X,1536-3724,Sports Medicine
Clinical rehabilitation.,0269-2155,1477-0873,Physical and Rehabilitation Medicine
Clinics in sports medicine.,0278-5919,1556-228X,Sports Medicine
Current sports medicine reports.,1537-890X,1537-8918,Sports Medicine
Developmental neurorehabilitation.,1751-8423,1751-8431,Neurology; Pediatrics; Physical and Rehabilitation Medicine
Die Rehabilitation.,0034-3536,1439-1309,Physical and Rehabilitation Medicine
Disability and health journal.,1936-6574,1876-7583,Health Services; Physical and Rehabilitation Medicine; Public Health
Disability and rehabilitation.,0963-8288,1464-5165,Physical and Rehabilitation Medicine
Disability and rehabilitation. Assistive technology.,1748-3107,1748-3115,Physical and Rehabilitation Medicine
Diving and hyperbaric medicine.,1833-3516,2209-1491,Military Medicine; Sports Medicine
European journal of physical and rehabilitation medicine.,1973-9087,1973-9095,Physical and Rehabilitation Medicine
European journal of sport science.,1746-1391,1536-7290,Physiology; Sports Medicine
Exercise and sport sciences reviews.,0091-6331,1538-3008,Sports Medicine
IEEE ... International Conference on Rehabilitation Robotics : [proceedings].,1945-7898,1945-7901,Physical and Rehabilitation Medicine; Technology
IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society.,1534-4320,1558-0210,Biomedical Engineering; Physical and Rehabilitation Medicine
